연도,시도,시군구,계약종별, 1월 , 2월 , 3월 , 4월 , 5월 , 6월 , 7월 , 8월 , 9월 , 10월 , 11월 , 12월 ,
2024,서울특별시,서대문구,합 계," 121,557,562 "," 112,238,262 "," 102,896,233 "," 96,010,125 "," 94,001,068 "," 105,951,699 "," 125,726,649 "," 149,969,014 "," 137,351,191 "," 103,065,770 "," 95,384,280 "," 110,125,833 ",
2024,서울특별시,마포구,주택용," 54,544,181 "," 52,432,032 "," 47,098,800 "," 46,128,809 "," 43,541,013 "," 49,214,615 "," 61,059,425 "," 81,856,634 "," 76,551,869 "," 51,747,196 "," 45,572,136 "," 49,152,092 ",
2024,서울특별시,마포구,일반용," 134,025,164 "," 124,308,377 "," 111,180,461 "," 102,452,157 "," 101,717,306 "," 113,697,985 "," 130,328,047 "," 145,660,203 "," 137,724,462 "," 111,337,114 "," 101,778,905 "," 118,653,162 ",
2024,서울특별시,마포구,교육용," 7,037,587 "," 5,666,784 "," 5,479,988 "," 4,389,769 "," 4,120,781 "," 4,955,858 "," 5,577,744 "," 5,531,985 "," 5,873,395 "," 4,231,098 "," 4,494,864 "," 6,657,765 ",
2024,서울특별시,마포구,산업용," 12,078,654 "," 10,348,979 "," 10,713,828 "," 11,438,724 "," 13,610,049 "," 15,732,284 "," 16,335,702 "," 19,481,115 "," 16,070,403 "," 13,479,336 "," 11,567,434 "," 11,315,287 ",
2024,서울특별시,마포구,농사용," 32,405 "," 33,189 "," 27,521 "," 27,456 "," 26,892 "," 31,442 "," 37,309 "," 41,720 "," 40,166 "," 39,721 "," 32,616 "," 26,151 ",
2024,서울특별시,마포구,가로등," 1,208,320 "," 1,129,509 "," 1,024,767 "," 952,720 "," 828,923 "," 820,140 "," 804,244 "," 862,313 "," 923,160 "," 1,001,454 "," 1,073,911 "," 1,094,257 ",
2024,서울특별시,마포구,심 야," 1,676,981 "," 1,530,922 "," 2,053,512 "," 1,752,151 "," 1,947,218 "," 2,290,255 "," 3,161,640 "," 3,290,305 "," 2,806,141 "," 1,855,756 "," 1,560,103 "," 1,776,988 ",
2024,서울특별시,마포구,합 계," 210,603,292 "," 195,449,792 "," 177,578,877 "," 167,141,786 "," 165,792,182 "," 186,742,579 "," 217,304,111 "," 256,724,275 "," 239,989,596 "," 183,691,675 "," 166,079,969 "," 188,675,702 ",
2024,서울특별시,강서구,주택용," 73,564,465 "," 71,915,140 "," 64,685,522 "," 64,331,637 "," 60,127,896 "," 63,920,448 "," 81,268,811 "," 108,701,237 "," 106,036,839 "," 73,774,402 "," 63,237,079 "," 66,526,191 ",
2024,서울특별시,강서구,일반용," 148,123,832 "," 137,556,845 "," 122,021,070 "," 113,154,310 "," 111,923,314 "," 123,756,151 "," 146,910,800 "," 164,802,185 "," 152,722,952 "," 122,240,975 "," 115,375,286 "," 133,229,917 ",
2024,서울특별시,강서구,교육용," 6,666,715 "," 5,496,429 "," 4,759,441 "," 4,119,962 "," 2,856,545 "," 3,389,135 "," 4,352,336 "," 4,087,864 "," 5,132,310 "," 3,408,940 "," 3,346,403 "," 5,588,080 ",
